k_cm^-1,E11_station42_cm3_s-2,E11_station98_cm3_s-2,E11_station171_cm3_s-2
0.05,570,,
0.10,693,297,181
0.15,683,281,148
0.20,618,231,118
0.25,545,190,94.0
0.30,470,160,78.3
0.40,352,115,54.6
0.50,267,85.0,39.4
0.75,163,50.4,22.5
1.00,114,33.0,13.9
1.50,66.8,17.4,7.15
2.00,42.0,11.2,4.02
2.50,30.1,7.52,2.33
3.00,21.3,5.05,1.32
4.00,11.4,2.31,0.545
6.00,3.95,0.662,0.112
8.00,1.63,0.174,0.0269
10.00,0.743,0.0595,0.00675
12.50,0.306,0.0182,0.00169
15.00,0.153,0.00612,0.000462
17.50,0.0693,0.00223,0.000136
20.00,0.0371,0.000793,0.0000546
22.50,,0.000298,0.0000217
