station_tU0_over_M,quantity,experimental,dns,relative_difference
42.0,u_rms_cm_s,22.2,22.945243109481154,0.03356950943608807
42.0,epsilon_cm2_s3,4740.0,4348.344732228609,-0.08262769362265628
42.0,eta_cm,0.029,0.02959426815385832,0.020492005305459204
42.0,lambda_cm,0.484,0.5209172114476404,0.07627523026371978
42.0,R_lambda,71.6,79.99752951253733,0.11728393173934823
98.0,u_rms_cm_s,12.8,13.835839154942501,0.08092493397988287
98.0,epsilon_cm2_s3,633.0,840.33006482797,0.3275356474375513
98.0,eta_cm,0.048,0.04463505980366496,-0.07010292075698005
98.0,lambda_cm,0.764,0.7145268957554053,-0.06475537204789886
98.0,R_lambda,65.3,66.16667182141207,0.013272156530047003
171.0,u_rms_cm_s,8.95,9.129673022346301,0.020075198027519767
171.0,epsilon_cm2_s3,174.0,215.20504436459711,0.23681059979653513
171.0,eta_cm,0.066,0.06274447426550726,-0.04932614749231423
171.0,lambda_cm,1.02,0.9316805461221062,-0.0865876998802881
171.0,R_lambda,60.7,56.9295113013345,-0.06211678251508241
