station_tU0_over_M,spectrum,k_cm^-1,experimental_cm3_s^-2,dns_interpolated_cm3_s^-2,resolved_by_box
42.0,E,0.2,129.0,224.7775894462782,True
42.0,E,0.25,230.0,279.7743581041594,True
42.0,E,0.3,322.0,334.5595375466902,True
42.0,E,0.4,435.0,443.629577190811,True
42.0,E,0.5,457.0,396.9794962078859,True
42.0,E,0.7,380.0,340.82754139156714,True
42.0,E,1.0,270.0,324.58356755553626,True
42.0,E,1.5,168.0,162.96835717368023,True
42.0,E,2.0,120.0,115.07397867668247,True
42.0,E,2.5,89.0,89.74003129611886,True
42.0,E,3.0,70.3,64.68334871086854,True
42.0,E,4.0,47.0,46.96081996827494,True
42.0,E,6.0,24.7,24.43465150043041,True
42.0,E,8.0,12.6,12.738481258297906,True
42.0,E,10.0,7.42,7.4102335513401325,True
42.0,E,12.5,3.96,3.9042625935875797,True
42.0,E,15.0,2.33,2.3077216567692185,True
42.0,E,17.5,1.34,1.3386197717577741,True
42.0,E,20.0,0.8,0.8072096131034275,True
42.0,E11,0.05,570.0,nan,False
42.0,E11,0.1,693.0,nan,False
42.0,E11,0.15,683.0,nan,False
42.0,E11,0.2,618.0,593.1205020472232,True
42.0,E11,0.25,545.0,535.4539587113281,True
42.0,E11,0.3,470.0,492.524337311386,True
42.0,E11,0.4,352.0,431.6774082102016,True
42.0,E11,0.5,267.0,309.2864516351466,True
42.0,E11,0.75,163.0,173.0098177259968,True
42.0,E11,1.0,114.0,123.07492941735346,True
42.0,E11,1.5,66.8,66.43231032957051,True
42.0,E11,2.0,42.0,42.477912494324386,True
42.0,E11,2.5,30.1,29.224804482117353,True
42.0,E11,3.0,21.3,21.021639361830463,True
42.0,E11,4.0,11.4,11.383148551271077,True
42.0,E11,6.0,3.95,4.135106502863967,True
42.0,E11,8.0,1.63,1.8196792169532108,True
42.0,E11,10.0,0.743,0.8810988171425607,True
42.0,E11,12.5,0.306,0.3879746284993141,True
42.0,E11,15.0,0.153,0.18323034006644068,True
42.0,E11,17.5,0.0693,0.09077029281664625,True
42.0,E11,20.0,0.0371,0.04612590639987009,True
98.0,E,0.2,106.0,182.63208779161977,True
98.0,E,0.25,196.0,183.89479523255406,True
98.0,E,0.3,195.0,184.9329802963447,True
98.0,E,0.4,202.0,186.5830480681859,True
98.0,E,0.5,168.0,146.08295643886558,True
98.0,E,0.7,127.0,122.82906296120304,True
98.0,E,1.0,79.2,86.34582449538307,True
98.0,E,1.5,47.8,52.809294216938184,True
98.0,E,2.0,34.6,40.51639290492391,True
98.0,E,2.5,28.6,33.357948510893635,True
98.0,E,3.0,23.1,24.916553386897302,True
98.0,E,4.0,14.3,17.84818646685341,True
98.0,E,6.0,5.95,7.520344002457047,True
98.0,E,8.0,2.23,3.2812132540058703,True
98.0,E,10.0,0.9,1.5126060249312527,True
98.0,E,12.5,0.363,0.5945352412868724,True
98.0,E,15.0,0.162,0.254769447406927,True
98.0,E,17.5,0.066,0.11193991711414673,True
98.0,E,20.0,0.033,0.051538218963983876,True
98.0,E11,0.1,297.0,nan,False
98.0,E11,0.15,281.0,nan,False
98.0,E11,0.2,231.0,196.84118577997214,True
98.0,E11,0.25,190.0,173.3678375560269,True
98.0,E11,0.3,160.0,156.2822994430869,True
98.0,E11,0.4,115.0,132.68211213981908,True
98.0,E11,0.5,85.0,102.09065042088568,True
98.0,E11,0.75,50.4,60.92939982288432,True
98.0,E11,1.0,33.0,41.53203131539906,True
98.0,E11,1.5,17.4,22.871176559428434,True
98.0,E11,2.0,11.2,14.326323950975818,True
98.0,E11,2.5,7.52,9.486603124488752,True
98.0,E11,3.0,5.05,6.422238391296215,True
98.0,E11,4.0,2.31,2.9535819391953715,True
98.0,E11,6.0,0.662,0.8393180612058666,True
98.0,E11,8.0,0.174,0.2744370690445703,True
98.0,E11,10.0,0.0595,0.09986382243439867,True
98.0,E11,12.5,0.0182,0.0321010868477023,True
98.0,E11,15.0,0.00612,0.011194159717751145,True
98.0,E11,17.5,0.00223,0.004194805492175752,True
98.0,E11,20.0,0.000793,0.0016472846624080325,True
98.0,E11,22.5,0.000298,0.0006734902541115703,True
171.0,E,0.15,49.7,nan,False
171.0,E,0.2,92.0,110.45299361024918,True
171.0,E,0.25,120.0,104.5775760581541,True
171.0,E,0.3,125.0,100.00977763819249,True
171.0,E,0.4,98.0,93.20466959836216,True
171.0,E,0.5,81.5,64.02807640036865,True
171.0,E,0.7,60.2,49.07453920828836,True
171.0,E,1.0,39.4,38.619522958921856,True
171.0,E,1.5,24.1,25.13814979500065,True
171.0,E,2.0,16.5,19.07507756264926,True
171.0,E,2.5,12.5,15.07924966163506,True
171.0,E,3.0,9.12,9.934899221043551,True
171.0,E,4.0,5.62,5.996327310767962,True
171.0,E,6.0,1.69,1.9992174222284824,True
171.0,E,8.0,0.52,0.7089451793295296,True
171.0,E,10.0,0.161,0.26542013499772293,True
171.0,E,12.5,0.052,0.08269057332619158,True
171.0,E,15.0,0.0141,0.02792983689206972,True
171.0,E11,0.1,181.0,nan,False
171.0,E11,0.15,148.0,nan,False
171.0,E11,0.2,118.0,119.733189626437,True
171.0,E11,0.25,94.0,91.55762806737701,True
171.0,E11,0.3,78.3,73.53443258424456,True
171.0,E11,0.4,54.6,52.03197540752787,True
171.0,E11,0.5,39.4,41.297347179599896,True
171.0,E11,0.75,22.5,26.005312514670404,True
171.0,E11,1.0,13.9,16.93092399552575,True
171.0,E11,1.5,7.15,8.736647513260603,True
171.0,E11,2.0,4.02,5.245256186968479,True
171.0,E11,2.5,2.33,2.983118989730635,True
171.0,E11,3.0,1.32,1.9254366809239636,True
171.0,E11,4.0,0.545,0.7524917473124395,True
171.0,E11,6.0,0.112,0.16539055228035318,True
171.0,E11,8.0,0.0269,0.04192163833567147,True
171.0,E11,10.0,0.00675,0.012426089388549782,True
171.0,E11,12.5,0.00169,0.003083800731959743,True
171.0,E11,15.0,0.000462,0.0008797196105655009,True
171.0,E11,17.5,0.000136,0.00025228852353023385,True
171.0,E11,20.0,5.46e-05,7.887809950225842e-05,True
171.0,E11,22.5,2.17e-05,2.5898765364936798e-05,True
