k1_cm^-1,E11_cm3_s^-2
0.000000000000000000e+00,1.693161522135293353e+02
2.000000000000000111e-01,1.968411857799721361e+02
4.000000000000000222e-01,1.326821121398190542e+02
6.000000000000000888e-01,8.241059040195440843e+01
8.000000000000000444e-01,5.583330949431453405e+01
1.000000000000000000e+00,4.153203131539905968e+01
1.200000000000000178e+00,3.257626754423225890e+01
1.400000000000000133e+00,2.586719786263756049e+01
1.600000000000000089e+00,2.038352050075081578e+01
1.800000000000000044e+00,1.803359935812934012e+01
2.000000000000000000e+00,1.432632395097581579e+01
2.200000000000000178e+00,1.185492154058317382e+01
2.400000000000000355e+00,1.037625491155644752e+01
2.600000000000000089e+00,8.703779776014926028e+00
2.800000000000000266e+00,7.321961877797648732e+00
3.000000000000000000e+00,6.422238391296215099e+00
3.200000000000000178e+00,5.500303492324804644e+00
3.400000000000000355e+00,4.633333468798218391e+00
3.600000000000000089e+00,3.990346692662690486e+00
3.800000000000000266e+00,3.537960593624901673e+00
4.000000000000000000e+00,2.953581939195371042e+00
4.200000000000000178e+00,2.624059254636223137e+00
4.400000000000000355e+00,2.288970116290077961e+00
4.600000000000000533e+00,2.051258481722157079e+00
4.800000000000000711e+00,1.792870859077527745e+00
5.000000000000000000e+00,1.560715531645801679e+00
5.200000000000000178e+00,1.375153580328943859e+00
5.400000000000000355e+00,1.237245146017022623e+00
5.600000000000000533e+00,1.046652028123087774e+00
5.800000000000000711e+00,9.480583215253718388e-01
6.000000000000000000e+00,8.393180612058666057e-01
6.200000000000000178e+00,7.569269302906291852e-01
6.400000000000000355e+00,6.656986708042391676e-01
6.600000000000000533e+00,5.817051023539909771e-01
6.800000000000000711e+00,5.283229723063611605e-01
7.000000000000000000e+00,4.669389450987149193e-01
7.200000000000000178e+00,4.202651838156912234e-01
7.400000000000000355e+00,3.854732643557265415e-01
7.600000000000000533e+00,3.382117204087214946e-01
7.800000000000000711e+00,3.016939967855679638e-01
8.000000000000000000e+00,2.744370690445703254e-01
8.200000000000001066e+00,2.496483388792404001e-01
8.400000000000000355e+00,2.240167596838015529e-01
8.599999999999999645e+00,2.027082212572250963e-01
8.800000000000000711e+00,1.809931782499575870e-01
9.000000000000000000e+00,1.655898724766433627e-01
9.200000000000001066e+00,1.478768033572205320e-01
9.400000000000000355e+00,1.362722583105168694e-01
9.600000000000001421e+00,1.237103845877493280e-01
9.800000000000000711e+00,1.097767744018422753e-01
1.000000000000000000e+01,9.986382243439867468e-02
1.020000000000000107e+01,9.184175909980815677e-02
1.040000000000000036e+01,8.211333648583761524e-02
1.060000000000000142e+01,7.566699517751154791e-02
1.080000000000000071e+01,6.822742383743835015e-02
1.100000000000000000e+01,6.296985752979852857e-02
1.120000000000000107e+01,5.681135619728440445e-02
1.140000000000000036e+01,5.224824324088456901e-02
1.160000000000000142e+01,4.835799390672822218e-02
1.180000000000000071e+01,4.359360865477503177e-02
1.200000000000000000e+01,3.987546776627524936e-02
1.220000000000000107e+01,3.680805236302193972e-02
1.240000000000000036e+01,3.347958669341307564e-02
1.260000000000000142e+01,3.078965960127751436e-02
1.280000000000000071e+01,2.830539868652879459e-02
1.300000000000000000e+01,2.591267492286061097e-02
1.320000000000000107e+01,2.373402784562046383e-02
1.340000000000000036e+01,2.182498459942294744e-02
1.360000000000000142e+01,2.000595131105140437e-02
1.380000000000000071e+01,1.846501551896444909e-02
1.400000000000000000e+01,1.715553575965714575e-02
1.420000000000000107e+01,1.560774970652943454e-02
1.440000000000000036e+01,1.409980753323592656e-02
1.460000000000000142e+01,1.310610772446063090e-02
1.480000000000000071e+01,1.218365419051124950e-02
1.500000000000000000e+01,1.119415971775114885e-02
1.520000000000000107e+01,1.024049056853520122e-02
1.540000000000000036e+01,9.477824006767308213e-03
1.560000000000000142e+01,8.795226967188355185e-03
1.580000000000000071e+01,8.036241245000094388e-03
1.600000000000000000e+01,7.451445064320717272e-03
1.619999999999999929e+01,6.946133726030609933e-03
1.640000000000000213e+01,6.381923655591639419e-03
1.660000000000000142e+01,5.865173132098232094e-03
1.680000000000000071e+01,5.459179180850794177e-03
1.700000000000000000e+01,5.022174091127304396e-03
1.719999999999999929e+01,4.633071808580202684e-03
1.740000000000000213e+01,4.344861495930662197e-03
1.760000000000000142e+01,4.050743041555016251e-03
1.780000000000000071e+01,3.736724189301703948e-03
1.800000000000000000e+01,3.461336520931232799e-03
1.819999999999999929e+01,3.196992027925886059e-03
1.840000000000000213e+01,2.964129835540390157e-03
1.860000000000000142e+01,2.760051281373173369e-03
1.880000000000000071e+01,2.554755327651417850e-03
