k_cm^-1,E_cm3_s^-2,shell_mode_multiplicity
0.000000000000000000e+00,9.318199757256057842e-29,1.000000000000000000e+00
2.000000000000000111e-01,1.104529936102491945e+02,1.800000000000000000e+01
4.000000000000000222e-01,9.320466959836218734e+01,6.200000000000000000e+01
6.000000000000000888e-01,4.711235752628696360e+01,9.800000000000000000e+01
8.000000000000000444e-01,5.084019405582372286e+01,2.100000000000000000e+02
1.000000000000000000e+00,3.861952295892184850e+01,3.500000000000000000e+02
1.200000000000000178e+00,2.839561007457635000e+01,4.500000000000000000e+02
1.400000000000000133e+00,2.736542886868589264e+01,6.020000000000000000e+02
1.600000000000000089e+00,2.321906414697631149e+01,7.620000000000000000e+02
1.800000000000000044e+00,2.431599876386395920e+01,1.142000000000000000e+03
2.000000000000000000e+00,1.907507756264925902e+01,1.250000000000000000e+03
2.200000000000000178e+00,1.606732417954712488e+01,1.458000000000000000e+03
2.400000000000000355e+00,1.607057768445540091e+01,1.814000000000000000e+03
2.600000000000000089e+00,1.418445458956411187e+01,2.178000000000000000e+03
2.800000000000000266e+00,1.247869641647615602e+01,2.498000000000000000e+03
3.000000000000000000e+00,9.934899221043551165e+00,2.622000000000000000e+03
3.200000000000000178e+00,1.027878299282405017e+01,3.338000000000000000e+03
3.400000000000000355e+00,9.108170487073085297e+00,3.722000000000000000e+03
3.600000000000000089e+00,8.173121451582968433e+00,4.170000000000000000e+03
3.800000000000000266e+00,6.539273065489381587e+00,4.358000000000000000e+03
4.000000000000000000e+00,5.996327310767963326e+00,5.034000000000000000e+03
4.200000000000000178e+00,5.601433109776947639e+00,5.714000000000000000e+03
4.400000000000000355e+00,4.834614760617480300e+00,5.982000000000000000e+03
4.600000000000000533e+00,4.359038362068405448e+00,6.602000000000000000e+03
4.800000000000000711e+00,3.908951008419435436e+00,7.130000000000000000e+03
5.000000000000000000e+00,3.556216656436533619e+00,8.034000000000000000e+03
5.200000000000000178e+00,3.154464149421506214e+00,8.606000000000000000e+03
5.400000000000000355e+00,2.769897088863585211e+00,9.066000000000000000e+03
5.600000000000000533e+00,2.519364781801048725e+00,9.962000000000000000e+03
5.800000000000000711e+00,2.238630242478480969e+00,1.055000000000000000e+04
6.000000000000000000e+00,1.999217422228482421e+00,1.122600000000000000e+04
6.200000000000000178e+00,1.808288139382852044e+00,1.214600000000000000e+04
6.400000000000000355e+00,1.596289852025877476e+00,1.260600000000000000e+04
6.600000000000000533e+00,1.483971149683100954e+00,1.380200000000000000e+04
6.800000000000000711e+00,1.330998641893042400e+00,1.475400000000000000e+04
7.000000000000000000e+00,1.158530106646861180e+00,1.519400000000000000e+04
7.200000000000000178e+00,1.051100439457203883e+00,1.645400000000000000e+04
7.400000000000000355e+00,9.552902211832300372e-01,1.715400000000000000e+04
7.600000000000000533e+00,8.738419112807077616e-01,1.826600000000000000e+04
7.800000000000000711e+00,7.601616727165219078e-01,1.875000000000000000e+04
8.000000000000000000e+00,7.089451793295296067e-01,2.023400000000000000e+04
8.200000000000001066e+00,6.510314063501606574e-01,2.145000000000000000e+04
8.400000000000000355e+00,5.690290411847881424e-01,2.196200000000000000e+04
8.599999999999999645e+00,5.210123709404014258e-01,2.346200000000000000e+04
8.800000000000000711e+00,4.643416204848310747e-01,2.404200000000000000e+04
9.000000000000000000e+00,4.380234863286786573e-01,2.594600000000000000e+04
9.200000000000001066e+00,3.793446568922760331e-01,2.611800000000000000e+04
9.400000000000000355e+00,3.494526350451865326e-01,2.750600000000000000e+04
9.600000000000001421e+00,3.204544300506224075e-01,2.906600000000000000e+04
9.800000000000000711e+00,2.897705232947382359e-01,3.045000000000000000e+04
1.000000000000000000e+01,2.654201349977229341e-01,3.174200000000000000e+04
1.020000000000000107e+01,2.353755903751017509e-01,3.225000000000000000e+04
1.040000000000000036e+01,2.196935672552196572e-01,3.425000000000000000e+04
1.060000000000000142e+01,1.974594001816646349e-01,3.545400000000000000e+04
1.080000000000000071e+01,1.806609866743814352e-01,3.643400000000000000e+04
1.100000000000000000e+01,1.622281646744778982e-01,3.768200000000000000e+04
1.120000000000000107e+01,1.489516121104906554e-01,3.929400000000000000e+04
1.140000000000000036e+01,1.391116332724249283e-01,4.142600000000000000e+04
1.160000000000000142e+01,1.239651594041846910e-01,4.206600000000000000e+04
1.180000000000000071e+01,1.139086195207898999e-01,4.349000000000000000e+04
1.200000000000000000e+01,1.054241082457969825e-01,4.570200000000000000e+04
1.220000000000000107e+01,9.501024623011439241e-02,4.663400000000000000e+04
1.240000000000000036e+01,8.724208765928778697e-02,4.855400000000000000e+04
1.260000000000000142e+01,7.840998618445285673e-02,4.887000000000000000e+04
1.280000000000000071e+01,7.277237929663542271e-02,5.155400000000000000e+04
1.300000000000000000e+01,6.770888927215908126e-02,5.409000000000000000e+04
1.320000000000000107e+01,6.021571840249650975e-02,5.431400000000000000e+04
1.340000000000000036e+01,5.657239463005758057e-02,5.691000000000000000e+04
1.360000000000000142e+01,5.032247217633288583e-02,5.748200000000000000e+04
1.380000000000000071e+01,4.783472513511880658e-02,6.062600000000000000e+04
1.400000000000000000e+01,4.274355701471464763e-02,6.120600000000000000e+04
1.420000000000000107e+01,3.897735830523035155e-02,6.257000000000000000e+04
1.440000000000000036e+01,3.648376500456997767e-02,6.573000000000000000e+04
