k1_cm^-1,E11_cm3_s^-2
0.000000000000000000e+00,3.544756321810454551e+02
2.000000000000000111e-01,5.807735520474000168e+02
4.000000000000000222e-01,3.693584846211323907e+02
6.000000000000000888e-01,2.346741195090069709e+02
8.000000000000000444e-01,1.623670330158975048e+02
1.000000000000000000e+00,1.225110159186890257e+02
1.200000000000000178e+00,9.043731391034394562e+01
1.400000000000000133e+00,7.517083183582786887e+01
1.600000000000000089e+00,6.070354523955863613e+01
1.800000000000000044e+00,5.016329695770640029e+01
2.000000000000000000e+00,4.310994273951198608e+01
2.200000000000000178e+00,3.492757107197773081e+01
2.400000000000000355e+00,3.107443058613031184e+01
2.600000000000000089e+00,2.638632724838594257e+01
2.800000000000000266e+00,2.235587430632139316e+01
3.000000000000000000e+00,2.034486206075187198e+01
3.200000000000000178e+00,1.727082676942574935e+01
3.400000000000000355e+00,1.488168752214313351e+01
3.600000000000000089e+00,1.365606387868733407e+01
3.800000000000000266e+00,1.189943073994561473e+01
4.000000000000000000e+00,1.065164849828058458e+01
4.200000000000000178e+00,9.741038056099094788e+00
4.400000000000000355e+00,8.452236833290495355e+00
4.600000000000000533e+00,7.564292920536980880e+00
4.800000000000000711e+00,6.793675006406609818e+00
5.000000000000000000e+00,6.141325831599361074e+00
5.200000000000000178e+00,5.582703761320284563e+00
5.400000000000000355e+00,5.043847819734139648e+00
5.600000000000000533e+00,4.398440803902563978e+00
5.800000000000000711e+00,4.015270334442863742e+00
6.000000000000000000e+00,3.653445906757605499e+00
6.200000000000000178e+00,3.372231974629131823e+00
6.400000000000000355e+00,3.006272167991757893e+00
6.600000000000000533e+00,2.734073389975964830e+00
6.800000000000000711e+00,2.475095535055265028e+00
7.000000000000000000e+00,2.273786017404454185e+00
7.200000000000000178e+00,2.076817759815125175e+00
7.400000000000000355e+00,1.927200521463654947e+00
7.600000000000000533e+00,1.723594741139905517e+00
7.800000000000000711e+00,1.589070455511222280e+00
8.000000000000000000e+00,1.458114632395561161e+00
8.200000000000001066e+00,1.347826145151503008e+00
8.400000000000000355e+00,1.223560683181269537e+00
8.599999999999999645e+00,1.123911084158257356e+00
8.800000000000000711e+00,1.026898176359581472e+00
9.000000000000000000e+00,9.531507409190392854e-01
9.200000000000001066e+00,8.647521693870792170e-01
9.400000000000000355e+00,8.052099533586173363e-01
9.600000000000001421e+00,7.474227415483694070e-01
9.800000000000000711e+00,6.818956181512398906e-01
1.000000000000000000e+01,6.403422158545979403e-01
1.020000000000000107e+01,5.873537414237522958e-01
1.040000000000000036e+01,5.419032423910644658e-01
1.060000000000000142e+01,5.026825282134379513e-01
1.080000000000000071e+01,4.622964708000715239e-01
1.100000000000000000e+01,4.250038486806613780e-01
1.120000000000000107e+01,3.983363591223933464e-01
1.140000000000000036e+01,3.621524796350167885e-01
1.160000000000000142e+01,3.348264946620450599e-01
1.180000000000000071e+01,3.107170027231885290e-01
1.200000000000000000e+01,2.883995510386004879e-01
1.220000000000000107e+01,2.690409780551279439e-01
1.240000000000000036e+01,2.473422417893869629e-01
1.260000000000000142e+01,2.293257814540190787e-01
1.280000000000000071e+01,0.000000000000000000e+00
