k_cm^-1,E_cm3_s^-2,shell_mode_multiplicity
0.000000000000000000e+00,1.598928339448480732e-31,1.000000000000000000e+00
2.000000000000000111e-01,1.949679488299158550e+02,1.800000000000000000e+01
4.000000000000000222e-01,4.249138643525459429e+02,6.200000000000000000e+01
6.000000000000000888e-01,2.728687053237339910e+02,9.800000000000000000e+01
8.000000000000000444e-01,2.905594441308987825e+02,2.100000000000000000e+02
1.000000000000000000e+00,2.641579990101749331e+02,3.500000000000000000e+02
1.200000000000000178e+00,1.797348400099324692e+02,4.500000000000000000e+02
1.400000000000000133e+00,1.389730063792458736e+02,6.020000000000000000e+02
1.600000000000000089e+00,1.108718644313626953e+02,7.620000000000000000e+02
1.800000000000000044e+00,1.214474923904981125e+02,1.142000000000000000e+03
2.000000000000000000e+00,9.289585780500931378e+01,1.250000000000000000e+03
2.200000000000000178e+00,7.704173556936035538e+01,1.458000000000000000e+03
2.400000000000000355e+00,7.411584086487410161e+01,1.814000000000000000e+03
2.600000000000000089e+00,6.763978391551472669e+01,2.178000000000000000e+03
2.800000000000000266e+00,6.062242353543398821e+01,2.498000000000000000e+03
3.000000000000000000e+00,4.825048522309426602e+01,2.622000000000000000e+03
3.200000000000000178e+00,5.144263129282387581e+01,3.338000000000000000e+03
3.400000000000000355e+00,4.654500507957621380e+01,3.722000000000000000e+03
3.600000000000000089e+00,4.243886968371268864e+01,4.170000000000000000e+03
3.800000000000000266e+00,3.675866775423283883e+01,4.358000000000000000e+03
4.000000000000000000e+00,3.601414359099489104e+01,5.034000000000000000e+03
4.200000000000000178e+00,3.365007642281048561e+01,5.714000000000000000e+03
4.400000000000000355e+00,2.944487946155362579e+01,5.982000000000000000e+03
4.600000000000000533e+00,2.864809781399824118e+01,6.602000000000000000e+03
4.800000000000000711e+00,2.655777559425972711e+01,7.130000000000000000e+03
5.000000000000000000e+00,2.518023047576527063e+01,8.034000000000000000e+03
5.200000000000000178e+00,2.332534155970885337e+01,8.606000000000000000e+03
5.400000000000000355e+00,2.077619007190773104e+01,9.066000000000000000e+03
5.600000000000000533e+00,2.051664272239131748e+01,9.962000000000000000e+03
5.800000000000000711e+00,1.873839753133230701e+01,1.055000000000000000e+04
6.000000000000000000e+00,1.716546917965927221e+01,1.122600000000000000e+04
6.200000000000000178e+00,1.646847895440077281e+01,1.214600000000000000e+04
6.400000000000000355e+00,1.509589369536945114e+01,1.260600000000000000e+04
6.600000000000000533e+00,1.455098225517530075e+01,1.380200000000000000e+04
6.800000000000000711e+00,1.367764759485351789e+01,1.475400000000000000e+04
7.000000000000000000e+00,1.264580101863070105e+01,1.519400000000000000e+04
7.200000000000000178e+00,1.228119969324317751e+01,1.645400000000000000e+04
7.400000000000000355e+00,1.134496870791908840e+01,1.715400000000000000e+04
7.600000000000000533e+00,1.089290606622795998e+01,1.826600000000000000e+04
7.800000000000000711e+00,9.876262008494199662e+00,1.875000000000000000e+04
8.000000000000000000e+00,9.765396290712461180e+00,2.023400000000000000e+04
8.200000000000001066e+00,9.352458373236096634e+00,2.145000000000000000e+04
8.400000000000000355e+00,8.614316015946727134e+00,2.196200000000000000e+04
8.599999999999999645e+00,8.445056007485497673e+00,2.346200000000000000e+04
8.800000000000000711e+00,7.851734000297079241e+00,2.404200000000000000e+04
9.000000000000000000e+00,7.742469556102287598e+00,2.594600000000000000e+04
9.200000000000001066e+00,7.114867349569330202e+00,2.611800000000000000e+04
9.400000000000000355e+00,6.849600859803690156e+00,2.750600000000000000e+04
9.600000000000001421e+00,6.728793909746770829e+00,2.906600000000000000e+04
9.800000000000000711e+00,6.522339110581470756e+00,3.045000000000000000e+04
1.000000000000000000e+01,6.318268682467219399e+00,3.174200000000000000e+04
1.020000000000000107e+01,5.850909038484437552e+00,3.225000000000000000e+04
1.040000000000000036e+01,5.868785570349270841e+00,3.425000000000000000e+04
1.060000000000000142e+01,5.609697076104094293e+00,3.545400000000000000e+04
1.080000000000000071e+01,5.385456994907309891e+00,3.643400000000000000e+04
1.100000000000000000e+01,5.211724928135788915e+00,3.768200000000000000e+04
1.120000000000000107e+01,5.089443826335024568e+00,3.929400000000000000e+04
1.140000000000000036e+01,5.094340798588836705e+00,4.142600000000000000e+04
1.160000000000000142e+01,4.910683892458491684e+00,4.206600000000000000e+04
1.180000000000000071e+01,4.825725784560233933e+00,4.349000000000000000e+04
1.200000000000000000e+01,4.789218548620402416e+00,4.570200000000000000e+04
1.220000000000000107e+01,4.708749595102174723e+00,4.663400000000000000e+04
1.240000000000000036e+01,4.704840875754929819e+00,4.855400000000000000e+04
1.260000000000000142e+01,4.529685321432514122e+00,4.887000000000000000e+04
1.280000000000000071e+01,4.454942847769811642e+00,5.096300000000000000e+04
1.300000000000000000e+01,4.178645769253594544e+00,5.157600000000000000e+04
1.320000000000000107e+01,3.837888092120403716e+00,4.931600000000000000e+04
1.340000000000000036e+01,3.629566130534620516e+00,4.934400000000000000e+04
1.360000000000000142e+01,3.255569039725868752e+00,4.719200000000000000e+04
1.380000000000000071e+01,3.120539190996992396e+00,4.757600000000000000e+04
1.400000000000000000e+01,2.845188107811046585e+00,4.534800000000000000e+04
1.420000000000000107e+01,2.628382557217735283e+00,4.406000000000000000e+04
1.440000000000000036e+01,2.495755633598774725e+00,4.387200000000000000e+04
1.460000000000000142e+01,2.249315108903841232e+00,4.175600000000000000e+04
1.480000000000000071e+01,2.129122944439312271e+00,4.152800000000000000e+04
1.500000000000000000e+01,1.941553370088288544e+00,3.930000000000000000e+04
1.520000000000000107e+01,1.798206468498975363e+00,3.827600000000000000e+04
1.540000000000000036e+01,1.661477159176001583e+00,3.690000000000000000e+04
1.560000000000000142e+01,1.500107383918776627e+00,3.472400000000000000e+04
1.580000000000000071e+01,1.414659249142305342e+00,3.396000000000000000e+04
1.600000000000000000e+01,1.274349614025924726e+00,3.214400000000000000e+04
1.619999999999999929e+01,1.177287647580870678e+00,3.070400000000000000e+04
1.640000000000000213e+01,1.062505194909661554e+00,2.889600000000000000e+04
1.660000000000000142e+01,9.484686949644973719e-01,2.692400000000000000e+04
1.680000000000000071e+01,8.675366093645381360e-01,2.565600000000000000e+04
1.700000000000000000e+01,7.510177798760225842e-01,2.322800000000000000e+04
1.719999999999999929e+01,6.631856098602778582e-01,2.181600000000000000e+04
1.740000000000000213e+01,5.710701160615563321e-01,1.947200000000000000e+04
1.760000000000000142e+01,4.896412836441297878e-01,1.769600000000000000e+04
1.780000000000000071e+01,4.134805156054121023e-01,1.558800000000000000e+04
1.800000000000000000e+01,3.287142677815768632e-01,1.376000000000000000e+04
1.819999999999999929e+01,2.732372033865314576e-01,1.156500000000000000e+04
1.840000000000000213e+01,2.267023724755745651e-01,1.001600000000000000e+04
1.860000000000000142e+01,1.842297392997620242e-01,8.652000000000000000e+03
1.880000000000000071e+01,1.595275531983201267e-01,7.652000000000000000e+03
1.900000000000000000e+01,1.238268828972262647e-01,6.542000000000000000e+03
1.920000000000000284e+01,1.039936839112015204e-01,5.478000000000000000e+03
1.940000000000000213e+01,8.991972611207629806e-02,4.886000000000000000e+03
1.960000000000000142e+01,6.675495669316745817e-02,4.068000000000000000e+03
1.980000000000000071e+01,5.326285401952079307e-02,3.326000000000000000e+03
2.000000000000000000e+01,4.041904163063444327e-02,2.696000000000000000e+03
2.020000000000000284e+01,3.362714730332920510e-02,2.304000000000000000e+03
2.040000000000000213e+01,2.562884025002639191e-02,1.934000000000000000e+03
2.060000000000000142e+01,1.868331009255688388e-02,1.344000000000000000e+03
2.080000000000000071e+01,8.915399014439049849e-03,8.480000000000000000e+02
2.100000000000000000e+01,9.403607539603462198e-03,8.880000000000000000e+02
2.120000000000000284e+01,5.121350260722989413e-03,5.840000000000000000e+02
2.140000000000000213e+01,2.298910270025915185e-03,3.440000000000000000e+02
2.160000000000000142e+01,4.042445224354708619e-04,1.020000000000000000e+02
2.180000000000000071e+01,2.555956047878169489e-04,1.040000000000000000e+02
2.200000000000000000e+01,0.000000000000000000e+00,2.400000000000000000e+01
2.220000000000000284e+01,0.000000000000000000e+00,1.000000000000000000e+00
