k_cm^-1,E_cm3_s^-2,shell_mode_multiplicity
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000111e-01,2.492169171910836667e+02,1.800000000000000000e+01
4.000000000000000222e-01,4.005252690715906851e+02,6.200000000000000000e+01
6.000000000000000888e-01,2.896636890186766777e+02,9.800000000000000000e+01
8.000000000000000444e-01,3.420819398355126850e+02,2.100000000000000000e+02
1.000000000000000000e+00,2.778909304261529201e+02,3.500000000000000000e+02
1.200000000000000178e+00,2.152020836579435183e+02,4.500000000000000000e+02
1.400000000000000133e+00,1.918908180809749808e+02,6.020000000000000000e+02
1.600000000000000089e+00,1.540286459922960489e+02,7.620000000000000000e+02
1.800000000000000044e+00,1.492592502546882827e+02,1.142000000000000000e+03
2.000000000000000000e+00,1.213326809807758195e+02,1.250000000000000000e+03
2.200000000000000178e+00,1.042805287828862504e+02,1.458000000000000000e+03
2.400000000000000355e+00,9.138006397321379382e+01,1.814000000000000000e+03
2.600000000000000089e+00,8.637593138930643022e+01,2.178000000000000000e+03
2.800000000000000266e+00,7.819239333930728719e+01,2.498000000000000000e+03
3.000000000000000000e+00,6.361266099441970567e+01,2.622000000000000000e+03
3.200000000000000178e+00,6.537527637248435042e+01,3.338000000000000000e+03
3.400000000000000355e+00,6.034655867853253852e+01,3.722000000000000000e+03
3.600000000000000089e+00,5.457214416517761890e+01,4.170000000000000000e+03
3.800000000000000266e+00,4.885626679579525700e+01,4.358000000000000000e+03
4.000000000000000000e+00,4.763146842578368734e+01,5.034000000000000000e+03
4.200000000000000178e+00,4.601030629247483006e+01,5.714000000000000000e+03
4.400000000000000355e+00,4.016026508280605611e+01,5.982000000000000000e+03
4.600000000000000533e+00,3.802869495419514578e+01,6.602000000000000000e+03
4.800000000000000711e+00,3.488628708672278123e+01,7.130000000000000000e+03
5.000000000000000000e+00,3.451432113020987202e+01,8.034000000000000000e+03
5.200000000000000178e+00,3.211545626133418807e+01,8.606000000000000000e+03
5.400000000000000355e+00,2.992071578165268519e+01,9.066000000000000000e+03
5.600000000000000533e+00,2.820270068612164494e+01,9.962000000000000000e+03
5.800000000000000711e+00,2.564267738948760922e+01,1.055000000000000000e+04
6.000000000000000000e+00,2.473747456934950151e+01,1.122600000000000000e+04
6.200000000000000178e+00,2.336344831187051341e+01,1.214600000000000000e+04
6.400000000000000355e+00,2.108681045519596609e+01,1.260600000000000000e+04
6.600000000000000533e+00,2.017888334866088940e+01,1.380200000000000000e+04
6.800000000000000711e+00,1.907819161834707700e+01,1.475400000000000000e+04
7.000000000000000000e+00,1.732190453363340765e+01,1.519400000000000000e+04
7.200000000000000178e+00,1.647886144534624009e+01,1.645400000000000000e+04
7.400000000000000355e+00,1.514948307456543297e+01,1.715400000000000000e+04
7.600000000000000533e+00,1.420088112030934013e+01,1.826600000000000000e+04
7.800000000000000711e+00,1.328015729858730509e+01,1.875000000000000000e+04
8.000000000000000000e+00,1.267203345548140803e+01,2.023400000000000000e+04
8.200000000000001066e+00,1.198165907391916640e+01,2.145000000000000000e+04
8.400000000000000355e+00,1.112693867494855660e+01,2.196200000000000000e+04
8.599999999999999645e+00,1.080095204578748991e+01,2.346200000000000000e+04
8.800000000000000711e+00,9.897500391247145757e+00,2.404200000000000000e+04
9.000000000000000000e+00,9.782575488928623386e+00,2.594600000000000000e+04
9.200000000000001066e+00,8.905459001465585445e+00,2.611800000000000000e+04
9.400000000000000355e+00,8.605875574719364707e+00,2.750600000000000000e+04
9.600000000000001421e+00,8.336159422250490891e+00,2.906600000000000000e+04
9.800000000000000711e+00,7.902765830933513591e+00,3.045000000000000000e+04
1.000000000000000000e+01,7.403761714550769035e+00,3.174200000000000000e+04
1.020000000000000107e+01,6.877131722293896132e+00,3.225000000000000000e+04
1.040000000000000036e+01,6.760508752846169145e+00,3.425000000000000000e+04
1.060000000000000142e+01,6.431780517626926930e+00,3.545400000000000000e+04
1.080000000000000071e+01,6.010599830523933207e+00,3.643400000000000000e+04
1.100000000000000000e+01,5.668942277869177815e+00,3.768200000000000000e+04
1.120000000000000107e+01,5.401092891802392160e+00,3.929400000000000000e+04
1.140000000000000036e+01,5.232535743411253826e+00,4.142600000000000000e+04
1.160000000000000142e+01,4.891285587016120040e+00,4.206600000000000000e+04
1.180000000000000071e+01,4.632861925139888370e+00,4.349000000000000000e+04
1.200000000000000000e+01,4.507364928004182758e+00,4.570200000000000000e+04
1.220000000000000107e+01,4.227369750009026816e+00,4.663400000000000000e+04
1.240000000000000036e+01,4.082155501498442085e+00,4.855400000000000000e+04
1.260000000000000142e+01,3.770005237331893966e+00,4.887000000000000000e+04
1.280000000000000071e+01,3.735734077773509743e+00,5.155400000000000000e+04
1.300000000000000000e+01,3.618242957206323940e+00,5.409000000000000000e+04
1.320000000000000107e+01,3.359146375719515909e+00,5.431400000000000000e+04
1.340000000000000036e+01,3.259050710842373633e+00,5.691000000000000000e+04
1.360000000000000142e+01,3.079215865186114343e+00,5.748200000000000000e+04
1.380000000000000071e+01,3.022178055858962598e+00,6.062600000000000000e+04
1.400000000000000000e+01,2.856828220968823384e+00,6.120600000000000000e+04
1.420000000000000107e+01,2.724685504505233613e+00,6.257000000000000000e+04
1.440000000000000036e+01,2.669650729562459190e+00,6.573000000000000000e+04
1.460000000000000142e+01,2.511301058395014607e+00,6.668600000000000000e+04
1.480000000000000071e+01,2.456402579355022819e+00,6.969800000000000000e+04
1.500000000000000000e+01,2.312380266032495246e+00,7.002600000000000000e+04
1.520000000000000107e+01,2.247623425506219963e+00,7.274600000000000000e+04
1.540000000000000036e+01,2.142157915849976835e+00,7.491000000000000000e+04
1.560000000000000142e+01,2.027679123260933913e+00,7.572200000000000000e+04
1.580000000000000071e+01,1.948460872434585767e+00,7.837800000000000000e+04
1.600000000000000000e+01,1.860814711215847295e+00,8.003000000000000000e+04
1.619999999999999929e+01,1.796632834090915676e+00,8.318600000000000000e+04
1.640000000000000213e+01,1.713986937543091615e+00,8.466600000000000000e+04
1.660000000000000142e+01,1.632142292560236907e+00,8.654600000000000000e+04
1.680000000000000071e+01,1.552242676088137374e+00,8.813400000000000000e+04
1.700000000000000000e+01,1.506402245098803050e+00,9.153800000000000000e+04
1.719999999999999929e+01,1.429513523037468925e+00,9.313800000000000000e+04
1.740000000000000213e+01,1.354576748179235235e+00,9.447800000000000000e+04
1.760000000000000142e+01,1.311219046577684066e+00,9.727400000000000000e+04
1.780000000000000071e+01,1.258765952552231004e+00,9.969000000000000000e+04
1.800000000000000000e+01,1.221030047954126507e+00,1.025900000000000000e+05
1.819999999999999929e+01,1.156754918634435025e+00,1.037700000000000000e+05
1.840000000000000213e+01,1.104794790200547494e+00,1.063460000000000000e+05
1.860000000000000142e+01,1.059236597901152432e+00,1.085460000000000000e+05
1.880000000000000071e+01,1.019544191652243637e+00,1.107260000000000000e+05
1.900000000000000000e+01,9.697430034006728761e-01,1.123220000000000000e+05
1.920000000000000284e+01,9.392804498557847381e-01,1.158900000000000000e+05
1.940000000000000213e+01,9.056618164113473535e-01,1.187660000000000000e+05
1.960000000000000142e+01,8.763901804238124482e-01,1.222980000000000000e+05
1.980000000000000071e+01,8.223672381435195300e-01,1.220900000000000000e+05
2.000000000000000000e+01,8.003007573928113683e-01,1.258100000000000000e+05
2.020000000000000284e+01,7.665668859366514543e-01,1.281900000000000000e+05
2.040000000000000213e+01,7.379967460037952787e-01,1.309940000000000000e+05
