k1_cm^-1,E11_cm3_s^-2
0.000000000000000000e+00,4.043854009383585435e+02
2.000000000000000111e-01,5.958218246459837246e+02
4.000000000000000222e-01,3.372034654945907732e+02
6.000000000000000888e-01,2.338084756791219831e+02
8.000000000000000444e-01,1.693252516634142637e+02
1.000000000000000000e+00,1.305421961181284018e+02
1.200000000000000178e+00,9.733509583729919257e+01
1.400000000000000133e+00,7.384968423156487916e+01
1.600000000000000089e+00,6.278610497729830087e+01
1.800000000000000044e+00,5.104966827719216838e+01
2.000000000000000000e+00,4.273704077129899304e+01
2.200000000000000178e+00,3.693809800426372192e+01
2.400000000000000355e+00,3.232493368375446607e+01
2.600000000000000089e+00,2.670132775905206657e+01
2.800000000000000266e+00,2.334225353515536838e+01
3.000000000000000000e+00,2.058547257305624711e+01
3.200000000000000178e+00,1.812284993355571316e+01
3.400000000000000355e+00,1.605396678466122040e+01
3.600000000000000089e+00,1.403723066004797815e+01
3.800000000000000266e+00,1.285524341435169049e+01
4.000000000000000000e+00,1.136126811970720851e+01
4.200000000000000178e+00,1.024022321786600820e+01
4.400000000000000355e+00,9.216298844615364416e+00
4.600000000000000533e+00,8.086845452752573493e+00
4.800000000000000711e+00,7.409886796120490615e+00
5.000000000000000000e+00,6.694290904178843427e+00
5.200000000000000178e+00,6.066090522146101449e+00
5.400000000000000355e+00,5.367968435462806553e+00
5.600000000000000533e+00,4.996288920848644288e+00
5.800000000000000711e+00,4.540314053098601477e+00
6.000000000000000000e+00,4.110302963091415407e+00
6.200000000000000178e+00,3.769163087987957628e+00
6.400000000000000355e+00,3.407737791935907534e+00
6.600000000000000533e+00,3.195575368481949230e+00
6.800000000000000711e+00,2.896698627795354142e+00
7.000000000000000000e+00,2.670316261158098836e+00
7.200000000000000178e+00,2.415623426138678198e+00
7.400000000000000355e+00,2.264596159746070203e+00
7.600000000000000533e+00,2.108605523706255536e+00
7.800000000000000711e+00,1.912677216469961472e+00
8.000000000000000000e+00,1.784033151932131078e+00
8.200000000000001066e+00,1.630271856879418335e+00
8.400000000000000355e+00,1.542610507230170347e+00
8.599999999999999645e+00,1.437697270489969759e+00
8.800000000000000711e+00,1.328752659753321019e+00
9.000000000000000000e+00,1.231136646658915756e+00
9.200000000000001066e+00,1.150235676230223714e+00
9.400000000000000355e+00,1.055207304739626872e+00
9.600000000000001421e+00,1.000737742878905046e+00
9.800000000000000711e+00,9.253683207440660530e-01
1.000000000000000000e+01,8.725921404629018996e-01
1.020000000000000107e+01,8.093713473276537007e-01
1.040000000000000036e+01,7.567687752309294469e-01
1.060000000000000142e+01,6.985239504794787946e-01
1.080000000000000071e+01,6.499757436497785035e-01
