k_cm^-1,E_cm3_s^-2,shell_mode_multiplicity
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000111e-01,2.247775894462782844e+02,1.800000000000000000e+01
4.000000000000000222e-01,4.436295771908112329e+02,6.200000000000000000e+01
6.000000000000000888e-01,3.625291901773493919e+02,9.800000000000000000e+01
8.000000000000000444e-01,3.230816384758370532e+02,2.100000000000000000e+02
1.000000000000000000e+00,3.245835675555362627e+02,3.500000000000000000e+02
1.200000000000000178e+00,2.107434237064844353e+02,4.500000000000000000e+02
1.400000000000000133e+00,1.794297326703843396e+02,6.020000000000000000e+02
1.600000000000000089e+00,1.489396412076776244e+02,7.620000000000000000e+02
1.800000000000000044e+00,1.491270739905325229e+02,1.142000000000000000e+03
2.000000000000000000e+00,1.150739786766824864e+02,1.250000000000000000e+03
2.200000000000000178e+00,1.021789019061685764e+02,1.458000000000000000e+03
2.400000000000000355e+00,9.219743399457061628e+01,1.814000000000000000e+03
2.600000000000000089e+00,8.744073957663185581e+01,2.178000000000000000e+03
2.800000000000000266e+00,7.917648942965935532e+01,2.498000000000000000e+03
3.000000000000000000e+00,6.468334871086857163e+01,2.622000000000000000e+03
3.200000000000000178e+00,6.717180856514755760e+01,3.338000000000000000e+03
3.400000000000000355e+00,6.056369971545645825e+01,3.722000000000000000e+03
3.600000000000000089e+00,5.625243051254565074e+01,4.170000000000000000e+03
3.800000000000000266e+00,4.923164050579847384e+01,4.358000000000000000e+03
4.000000000000000000e+00,4.696081996827495431e+01,5.034000000000000000e+03
4.200000000000000178e+00,4.419210469501562955e+01,5.714000000000000000e+03
4.400000000000000355e+00,4.087837032749416721e+01,5.982000000000000000e+03
4.600000000000000533e+00,3.854912067295876454e+01,6.602000000000000000e+03
4.800000000000000711e+00,3.559002657694730232e+01,7.130000000000000000e+03
5.000000000000000000e+00,3.463317327069805174e+01,8.034000000000000000e+03
5.200000000000000178e+00,3.219795698840284359e+01,8.606000000000000000e+03
5.400000000000000355e+00,2.968953369618654037e+01,9.066000000000000000e+03
5.600000000000000533e+00,2.818944472402660040e+01,9.962000000000000000e+03
5.800000000000000711e+00,2.603499233800176071e+01,1.055000000000000000e+04
6.000000000000000000e+00,2.443465150043040879e+01,1.122600000000000000e+04
6.200000000000000178e+00,2.325628708462503980e+01,1.214600000000000000e+04
6.400000000000000355e+00,2.132404625553528987e+01,1.260600000000000000e+04
6.600000000000000533e+00,2.051296028174370178e+01,1.380200000000000000e+04
6.800000000000000711e+00,1.914946243453875496e+01,1.475400000000000000e+04
7.000000000000000000e+00,1.734691620830924919e+01,1.519400000000000000e+04
7.200000000000000178e+00,1.639356917115182810e+01,1.645400000000000000e+04
7.400000000000000355e+00,1.516914651076592513e+01,1.715400000000000000e+04
7.600000000000000533e+00,1.432635583640619714e+01,1.826600000000000000e+04
7.800000000000000711e+00,1.313808769200289284e+01,1.875000000000000000e+04
8.000000000000000000e+00,1.273848125829791122e+01,2.023400000000000000e+04
8.200000000000001066e+00,1.213573232831848614e+01,2.145000000000000000e+04
8.400000000000000355e+00,1.102188935278216952e+01,2.196200000000000000e+04
8.599999999999999645e+00,1.067909944721134785e+01,2.346200000000000000e+04
8.800000000000000711e+00,9.828057573845084605e+00,2.404200000000000000e+04
9.000000000000000000e+00,9.757060165228967463e+00,2.594600000000000000e+04
9.200000000000001066e+00,8.924245062694819097e+00,2.611800000000000000e+04
9.400000000000000355e+00,8.500544202249253445e+00,2.750600000000000000e+04
