k1_cm^-1,E11_cm3_s^-2
0.000000000000000000e+00,3.789699695725955735e+02
2.000000000000000111e-01,5.931205020472232263e+02
4.000000000000000222e-01,4.316774082102015768e+02
6.000000000000000888e-01,2.355331112331083432e+02
8.000000000000000444e-01,1.582414062442840361e+02
1.000000000000000000e+00,1.230749294173534452e+02
1.200000000000000178e+00,9.430147069652647929e+01
1.400000000000000133e+00,7.347022830044001296e+01
1.600000000000000089e+00,6.046036592067647319e+01
1.800000000000000044e+00,5.023211996997675044e+01
2.000000000000000000e+00,4.247791249432438576e+01
2.200000000000000178e+00,3.702756340050456174e+01
2.400000000000000355e+00,3.118711633287479401e+01
2.600000000000000089e+00,2.745586344105581489e+01
2.800000000000000266e+00,2.393331434064438312e+01
3.000000000000000000e+00,2.102163936183046644e+01
3.200000000000000178e+00,1.839601159035985134e+01
3.400000000000000355e+00,1.622068826880995118e+01
3.600000000000000089e+00,1.426474276138938713e+01
3.800000000000000266e+00,1.285385740729009463e+01
4.000000000000000000e+00,1.138314855127107528e+01
4.200000000000000178e+00,1.040213407047462013e+01
4.400000000000000355e+00,9.049601604599788018e+00
4.600000000000000533e+00,8.255695968431965071e+00
4.800000000000000711e+00,7.278740767856774596e+00
5.000000000000000000e+00,6.774864108545421537e+00
5.200000000000000178e+00,6.052522232130348456e+00
5.400000000000000355e+00,5.499059688059566575e+00
5.600000000000000533e+00,4.959544212651004536e+00
5.800000000000000711e+00,4.507192466517968121e+00
6.000000000000000000e+00,4.135106502863967748e+00
6.200000000000000178e+00,3.833840173871777335e+00
6.400000000000000355e+00,3.450582440964159670e+00
6.600000000000000533e+00,3.223366902015426305e+00
6.800000000000000711e+00,2.889550489231376584e+00
7.000000000000000000e+00,2.652029070910663311e+00
7.200000000000000178e+00,2.504257428559677479e+00
7.400000000000000355e+00,2.269727150447760522e+00
7.600000000000000533e+00,2.121786380365760838e+00
7.800000000000000711e+00,1.951461952668681610e+00
8.000000000000000000e+00,1.819679216953210776e+00
8.200000000000001066e+00,1.687285147765047899e+00
8.400000000000000355e+00,1.550270680538924362e+00
8.599999999999999645e+00,1.437305023108156332e+00
8.800000000000000711e+00,1.353723953356870568e+00
9.000000000000000000e+00,1.255699133476133600e+00
9.200000000000001066e+00,1.162977885647036747e+00
9.400000000000000355e+00,1.085980703029955086e+00
9.600000000000001421e+00,1.021301618371646347e+00
9.800000000000000711e+00,9.303324075663895742e-01
1.000000000000000000e+01,8.810988171425606641e-01
1.020000000000000107e+01,8.191610047171518083e-01
1.040000000000000036e+01,7.673759052753157395e-01
1.060000000000000142e+01,7.116924503093130516e-01
1.080000000000000071e+01,6.681976925880006579e-01
1.100000000000000000e+01,6.271670113902869659e-01
1.120000000000000107e+01,5.894095674933345075e-01
1.140000000000000036e+01,5.548720421062680597e-01
1.160000000000000142e+01,5.220189142289438644e-01
1.180000000000000071e+01,4.852905355867430104e-01
1.200000000000000000e+01,4.603956983209445686e-01
1.220000000000000107e+01,4.253994355624306500e-01
1.240000000000000036e+01,4.009275842513858601e-01
1.260000000000000142e+01,3.755384091578221617e-01
1.280000000000000071e+01,3.580086340630697639e-01
1.300000000000000000e+01,3.323474870286913241e-01
1.320000000000000107e+01,3.169435180900103122e-01
1.340000000000000036e+01,2.988854154089857218e-01
1.360000000000000142e+01,2.795692341825154470e-01
1.380000000000000071e+01,2.602646501611599605e-01
1.400000000000000000e+01,2.471263173113084910e-01
1.420000000000000107e+01,2.312183344270440088e-01
1.440000000000000036e+01,2.168394361786060154e-01
1.460000000000000142e+01,2.072440539912057678e-01
1.480000000000000071e+01,1.944745727224333198e-01
1.500000000000000000e+01,1.832303400664406778e-01
1.520000000000000107e+01,1.730641416167998381e-01
1.540000000000000036e+01,1.636344976982523902e-01
1.560000000000000142e+01,1.542793203970410365e-01
1.580000000000000071e+01,1.450974144931946597e-01
1.600000000000000000e+01,1.372179264236209340e-01
1.619999999999999929e+01,1.303812438676647256e-01
1.640000000000000213e+01,1.236916403624836736e-01
1.660000000000000142e+01,1.170770270983712280e-01
1.680000000000000071e+01,1.100483112221899151e-01
1.700000000000000000e+01,1.036922775436202315e-01
1.719999999999999929e+01,9.843746001401650070e-02
1.740000000000000213e+01,9.323094575748390456e-02
1.760000000000000142e+01,8.838805422795668887e-02
1.780000000000000071e+01,8.313989201703733678e-02
1.800000000000000000e+01,7.956877737547302099e-02
1.819999999999999929e+01,7.512214670017361429e-02
1.840000000000000213e+01,7.113473715232210282e-02
1.860000000000000142e+01,6.697216763526499250e-02
1.880000000000000071e+01,6.361111551447196089e-02
1.900000000000000000e+01,6.044624152817466151e-02
1.920000000000000284e+01,5.696471762059640565e-02
1.940000000000000213e+01,5.428007401248586411e-02
1.960000000000000142e+01,5.148571219579494568e-02
1.980000000000000071e+01,4.876692119158682753e-02
2.000000000000000000e+01,4.612590639987011049e-02
2.020000000000000284e+01,4.373773649054987778e-02
2.040000000000000213e+01,4.166911320259343576e-02
2.060000000000000142e+01,3.954884755866405061e-02
2.080000000000000071e+01,3.747784572296668920e-02
2.100000000000000000e+01,3.565077670922102426e-02
2.120000000000000284e+01,3.373419856877784423e-02
2.140000000000000213e+01,3.207316524431309129e-02
2.160000000000000142e+01,3.040775731561760550e-02
2.180000000000000071e+01,2.883950443550108503e-02
2.200000000000000000e+01,2.753658640112548878e-02
2.220000000000000284e+01,2.600822165753520487e-02
2.240000000000000213e+01,2.483665120115432709e-02
2.260000000000000142e+01,2.371105487209415608e-02
2.280000000000000071e+01,2.229367355080735108e-02
2.300000000000000000e+01,2.117821189378576649e-02
2.320000000000000284e+01,2.025672045906426466e-02
2.340000000000000213e+01,1.920819881153157382e-02
2.360000000000000142e+01,1.827784933704320464e-02
2.380000000000000071e+01,1.731081034083650771e-02
2.400000000000000000e+01,1.644941209905727980e-02
2.420000000000000284e+01,1.575514076968838328e-02
