k_cm^-1,E_cm3_s^-2,shell_mode_multiplicity
0.000000000000000000e+00,1.334066639044198563e-36,1.000000000000000000e+00
2.000000000000000111e-01,2.249233087271416878e+02,1.800000000000000000e+01
4.000000000000000222e-01,4.434375008934577522e+02,6.200000000000000000e+01
6.000000000000000888e-01,3.627033347826413774e+02,9.800000000000000000e+01
8.000000000000000444e-01,3.226396109378516712e+02,2.100000000000000000e+02
1.000000000000000000e+00,3.244466464207131366e+02,3.500000000000000000e+02
1.200000000000000178e+00,2.104280947805242477e+02,4.500000000000000000e+02
1.400000000000000133e+00,1.796922273142350548e+02,6.020000000000000000e+02
1.600000000000000089e+00,1.488758447948331423e+02,7.620000000000000000e+02
1.800000000000000044e+00,1.489146135907707560e+02,1.142000000000000000e+03
2.000000000000000000e+00,1.149076415126297235e+02,1.250000000000000000e+03
2.200000000000000178e+00,1.021383120556696298e+02,1.458000000000000000e+03
2.400000000000000355e+00,9.177565211157066472e+01,1.814000000000000000e+03
2.600000000000000089e+00,8.730078726073766404e+01,2.178000000000000000e+03
2.800000000000000266e+00,7.897386455632155844e+01,2.498000000000000000e+03
3.000000000000000000e+00,6.446115608615866677e+01,2.622000000000000000e+03
3.200000000000000178e+00,6.697922758852962488e+01,3.338000000000000000e+03
3.400000000000000355e+00,6.026326565749439368e+01,3.722000000000000000e+03
3.600000000000000089e+00,5.608014922675850755e+01,4.170000000000000000e+03
3.800000000000000266e+00,4.897860274358753685e+01,4.358000000000000000e+03
4.000000000000000000e+00,4.661869672610011150e+01,5.034000000000000000e+03
4.200000000000000178e+00,4.389585647143194080e+01,5.714000000000000000e+03
4.400000000000000355e+00,4.059518025334612901e+01,5.982000000000000000e+03
4.600000000000000533e+00,3.833219295753747957e+01,6.602000000000000000e+03
4.800000000000000711e+00,3.525342278500588122e+01,7.130000000000000000e+03
5.000000000000000000e+00,3.433467909252108541e+01,8.034000000000000000e+03
5.200000000000000178e+00,3.192474976902778039e+01,8.606000000000000000e+03
5.400000000000000355e+00,2.939348965303893380e+01,9.066000000000000000e+03
5.600000000000000533e+00,2.790556037899911246e+01,9.962000000000000000e+03
5.800000000000000711e+00,2.574588123358375213e+01,1.055000000000000000e+04
6.000000000000000000e+00,2.420283737988822281e+01,1.122600000000000000e+04
6.200000000000000178e+00,2.299328924424700205e+01,1.214600000000000000e+04
6.400000000000000355e+00,2.105759516061472425e+01,1.260600000000000000e+04
6.600000000000000533e+00,2.023969551476744400e+01,1.380200000000000000e+04
6.800000000000000711e+00,1.882908235930629104e+01,1.475400000000000000e+04
7.000000000000000000e+00,1.710569082593006840e+01,1.519400000000000000e+04
7.200000000000000178e+00,1.612140020990653255e+01,1.645400000000000000e+04
7.400000000000000355e+00,1.495723569056797153e+01,1.715400000000000000e+04
7.600000000000000533e+00,1.407834525564167905e+01,1.826600000000000000e+04
