k1_cm^-1,E11_cm3_s^-2
0.000000000000000000e+00,3.784254626180419336e+02
2.000000000000000111e-01,5.920927335984862339e+02
4.000000000000000222e-01,4.307480312902364972e+02
6.000000000000000888e-01,2.348968163753601175e+02
8.000000000000000444e-01,1.577558963463374937e+02
1.000000000000000000e+00,1.226276417617940950e+02
1.200000000000000178e+00,9.415734566649358328e+01
1.400000000000000133e+00,7.296889519189444684e+01
1.600000000000000089e+00,6.004037894164288502e+01
1.800000000000000044e+00,4.978989732138444424e+01
2.000000000000000000e+00,4.196689970647714318e+01
2.200000000000000178e+00,3.658094588942276459e+01
2.400000000000000355e+00,3.086559082984638280e+01
2.600000000000000089e+00,2.711254954482957302e+01
2.800000000000000266e+00,2.365190111674460738e+01
3.000000000000000000e+00,2.070069654225039457e+01
3.200000000000000178e+00,1.803140357051592702e+01
3.400000000000000355e+00,1.590805986050290421e+01
3.600000000000000089e+00,1.406213623959436632e+01
3.800000000000000266e+00,1.260833848250624811e+01
4.000000000000000000e+00,1.111338958574287794e+01
4.200000000000000178e+00,1.016704793173230392e+01
4.400000000000000355e+00,8.802541669328842744e+00
4.600000000000000533e+00,8.052256974447821847e+00
4.800000000000000711e+00,7.065333551344449958e+00
5.000000000000000000e+00,6.577537162877979959e+00
5.200000000000000178e+00,5.873447114277234427e+00
5.400000000000000355e+00,5.320725854142149380e+00
5.600000000000000533e+00,4.791953464858647038e+00
5.800000000000000711e+00,4.341457459295561705e+00
6.000000000000000000e+00,3.980788350854736812e+00
6.200000000000000178e+00,3.694008305897096278e+00
6.400000000000000355e+00,3.326494750274192391e+00
6.600000000000000533e+00,3.093220398729972231e+00
6.800000000000000711e+00,2.761541521461341464e+00
7.000000000000000000e+00,2.522970079068594274e+00
7.200000000000000178e+00,2.384086355944227353e+00
7.400000000000000355e+00,2.161683727070200067e+00
7.600000000000000533e+00,2.014007992939519376e+00
7.800000000000000711e+00,1.854407023513301445e+00
8.000000000000000000e+00,1.720567683276231774e+00
8.200000000000001066e+00,1.592429750592858850e+00
8.400000000000000355e+00,1.458054462572198062e+00
8.599999999999999645e+00,1.347248999646849965e+00
8.800000000000000711e+00,1.269313670260470150e+00
9.000000000000000000e+00,1.172607596055562196e+00
9.200000000000001066e+00,1.086223973733395409e+00
9.400000000000000355e+00,1.013960026620669641e+00
9.600000000000001421e+00,9.546931537755274366e-01
9.800000000000000711e+00,8.667751090820104976e-01
1.000000000000000000e+01,8.168676907736838189e-01
1.020000000000000107e+01,7.567961781184647796e-01
1.040000000000000036e+01,7.056227820609806134e-01
1.060000000000000142e+01,6.544842953592017176e-01
1.080000000000000071e+01,6.118706085465963618e-01
1.100000000000000000e+01,5.746218157965594653e-01
1.120000000000000107e+01,5.364440682339003397e-01
1.140000000000000036e+01,5.078238901610859779e-01
1.160000000000000142e+01,4.765050784579268339e-01
1.180000000000000071e+01,4.399804182649696971e-01
1.200000000000000000e+01,4.174041303152296600e-01
1.220000000000000107e+01,3.834882744557685519e-01
1.240000000000000036e+01,3.625551071063537467e-01
1.260000000000000142e+01,3.383799921137592426e-01
1.280000000000000071e+01,3.217016444412488241e-01
1.300000000000000000e+01,2.968795444558158247e-01
1.320000000000000107e+01,2.834286397378712463e-01
1.340000000000000036e+01,2.657663687446694123e-01
1.360000000000000142e+01,2.477409931454465364e-01
1.380000000000000071e+01,2.303918747024551739e-01
1.400000000000000000e+01,2.181215334060110922e-01
1.420000000000000107e+01,2.034479086770976941e-01
1.440000000000000036e+01,1.913141298571151283e-01
1.460000000000000142e+01,1.813532535560176406e-01
1.480000000000000071e+01,1.698923569202409611e-01
1.500000000000000000e+01,1.596323071520793779e-01
1.520000000000000107e+01,1.506126155988289084e-01
1.540000000000000036e+01,1.420892253985169551e-01
1.560000000000000142e+01,1.336679000901555558e-01
1.580000000000000071e+01,1.249916355648273275e-01
1.600000000000000000e+01,1.179516555746163292e-01
1.619999999999999929e+01,1.126138921989281311e-01
1.640000000000000213e+01,1.054451007326489692e-01
1.660000000000000142e+01,9.936626376381189896e-02
1.680000000000000071e+01,9.355964991596896208e-02
1.700000000000000000e+01,8.843753713675220340e-02
1.719999999999999929e+01,8.336217052810973582e-02
1.740000000000000213e+01,7.846433797506158214e-02
1.760000000000000142e+01,7.454529810524232469e-02
1.780000000000000071e+01,6.993212641811785701e-02
1.800000000000000000e+01,6.633922050153265304e-02
1.819999999999999929e+01,6.267315033419147696e-02
1.840000000000000213e+01,5.967185098322448644e-02
1.860000000000000142e+01,5.564682077831496071e-02
1.880000000000000071e+01,5.279152877616166695e-02
1.900000000000000000e+01,4.955434140023297351e-02
1.920000000000000284e+01,4.679055531456583622e-02
1.940000000000000213e+01,4.451639746192307540e-02
1.960000000000000142e+01,4.204664166376086837e-02
1.980000000000000071e+01,3.963385108523034828e-02
2.000000000000000000e+01,3.752237287165151314e-02
2.020000000000000284e+01,3.519709670672074853e-02
2.040000000000000213e+01,3.375908503505935243e-02
2.060000000000000142e+01,3.179695924418236841e-02
2.080000000000000071e+01,2.991878359160609832e-02
2.100000000000000000e+01,2.847074621743271930e-02
2.120000000000000284e+01,2.691200837586056605e-02
2.140000000000000213e+01,2.544755910955942557e-02
2.160000000000000142e+01,2.400017057802341855e-02
2.180000000000000071e+01,2.279294349845403800e-02
2.200000000000000000e+01,2.171514984411956548e-02
2.220000000000000284e+01,2.036719247461518320e-02
2.240000000000000213e+01,1.945038431801970891e-02
2.260000000000000142e+01,1.848019691744532539e-02
2.280000000000000071e+01,1.729302005444595391e-02
2.300000000000000000e+01,1.635230465157060456e-02
2.320000000000000284e+01,1.562702593497732398e-02
2.340000000000000213e+01,1.479971126359587962e-02
2.360000000000000142e+01,1.403249346334724777e-02
2.380000000000000071e+01,1.320354995702806289e-02
2.400000000000000000e+01,1.251361326207618523e-02
2.420000000000000284e+01,1.191350378592968828e-02
2.440000000000000213e+01,1.134867421640677575e-02
2.460000000000000142e+01,1.070348976472879077e-02
